'*',    74,     1,    32,    37,     3,    31,    -1,     0
'SPENVIS 4.6.11.3477          - 15-Aug-2023 17:14:36'
'PRJ_DEF', -1,'VANALLENBELTINVESTIGATION'
'PRJ_HDR', -1,'investigation of van Allen belt current'
'MOD_ABB', -1,'TRP'
'MIS_PLA',  1,    3,' '
'MIS_NTR',  1,    1,' '
'MIS_STA',  1,  18628.00000000,' '
'MIS_END',  1,  18635.00000000,' '
'MIS_DUR',  1, 7.000000E+00,'days'
'ORB_HDR', -1,' '
'ORB_TYP', -1,'GEN'
'ORB_MJD',  1,  18628.00000000,' '
'ORB_YEA',  1, 2001,' '
'ORB_MON',  1,  1,' '
'ORB_DAY',  1,  1,' '
'ORB_HOU',  1,  0,' '
'ORB_MIN',  1,  0,' '
'ORB_SEC',  1,  0.0,' '
'ORB_APO',  1, 1.200000E+03,'km'
'ORB_PER',  1, 1.200000E+03,'km'
'ORB_INC',  1,    90.00,'deg'
'ORB_RAA',  1,    95.00,'deg'
'ORB_ARG',  1,     0.00,'deg'
'ORB_TRA',  1,     0.00,'deg'
'ORB_PRD',  1, 1.821113E+00,'hrs'
'ORB_DUR',  1, 7.587970E-01,'days'
'ORB_TSE',  1,  18635.00000000,' '
'ORB_AXM',  1,  2,' '
'ORB_MJR', -1,'1 Jan 1950, 00:00 UT'
'ORB_GDR', -1,'Astron. J. 66, 15, 1961'
'TRP_MOD', -1,'AP-8 MAX'
'TRP_OMN',  1,  1,' '
'ENERGY', 29,   0.10,   0.15,   0.20,   0.30,   0.40,   0.50,   0.60,   0.70,   1.00,   1.50,   2.00,   3.00,   4.00,   5.00,   6.00,   7.00,  10.00,  15.00,  20.00,  30.00,  40.00,  50.00,  60.00,  70.00, 100.00, 150.00, 200.00, 300.00, 400.00,'MeV'
'PS Annotation',  8,  2
'Mission start: 01/01/2001 00:00:00'
 0.05, 0.00, 0.00
'Mission end: 08/01/2001 00:00:00'
 0.95, 0.00, 1.00
'Nr. of segments:   1'
 0.05, 1.50, 0.00
'Duration: 7.00 days'
 0.95, 0.00, 1.00
'PS Annotation', 24,  1
'Segment  1:'
 0.05, 2.00, 0.00
'Apogee: 1200.0 km'
 0.05, 1.50, 0.00
'Perigee: 1200.0 km'
 0.50, 0.00, 0.50
'Inclination: 90.0 deg'
 0.95, 0.00, 1.00
'R.A. Asc. Node: 95.0 deg'
 0.05, 1.50, 0.00
'Arg. Per.: 0.0 deg'
 0.50, 0.00, 0.50
'True Anomaly: 0.0 deg'
 0.95, 0.00, 1.00
'Period: 1.82 hrs'
 0.05, 1.50, 0.00
'Duration: 0.76 days'
 0.50, 0.00, 0.50
'10.00 Orbits'
 0.95, 0.00, 1.00
'Orbit start: 01/01/2001 00:00:00'
 0.05, 1.50, 0.00
'Orbit end: 01/01/2001 18:12:40'
 0.95, 0.00, 1.00
'PS Annotation',  2,  0
'Trapped proton model: AP-8 MAX'
 0.05, 2.00, 0.00
'B','Gauss', 1,'!8B!3'
'L','!8R!3!dE!n', 1,'!8L!3'
'Flux','cm!u-2!n s!u-1!n', 29,'AP-8 MAX Integral Flux >','ENERGY'
  1.7622E-01,  1.2264E+00,  3.5195E+03,  3.5041E+03,  3.4887E+03,  3.4754E+03,  3.4621E+03,  3.4542E+03,  3.4463E+03,  3.4330E+03,  3.4027E+03,  3.3886E+03,  3.3745E+03,  3.3469E+03,  3.3195E+03,  3.2861E+03,  3.2531E+03,  3.2134E+03,  3.0936E+03,  2.9137E+03,  2.7839E+03,  2.5185E+03,  2.3476E+03,  2.1883E+03,  2.0317E+03,  1.8954E+03,  1.5318E+03,  1.0410E+03,  7.0742E+02,  3.0664E+02,  1.3292E+02
  1.7766E-01,  1.2090E+00,  3.1413E+03,  3.1328E+03,  3.1242E+03,  3.1163E+03,  3.1084E+03,  3.1035E+03,  3.0987E+03,  3.0908E+03,  3.0684E+03,  3.0624E+03,  3.0565E+03,  3.0395E+03,  3.0226E+03,  2.9976E+03,  2.9729E+03,  2.9449E+03,  2.8611E+03,  2.7206E+03,  2.6086E+03,  2.3918E+03,  2.2360E+03,  2.0903E+03,  1.9519E+03,  1.8289E+03,  1.4964E+03,  1.0425E+03,  7.2623E+02,  3.2690E+02,  1.4715E+02
  1.8034E-01,  1.2005E+00,  2.7420E+03,  2.7356E+03,  2.7292E+03,  2.7228E+03,  2.7165E+03,  2.7134E+03,  2.7102E+03,  2.7039E+03,  2.6855E+03,  2.6821E+03,  2.6788E+03,  2.6666E+03,  2.6544E+03,  2.6363E+03,  2.6184E+03,  2.5975E+03,  2.5357E+03,  2.4343E+03,  2.3427E+03,  2.1593E+03,  2.0250E+03,  1.8991E+03,  1.7787E+03,  1.6717E+03,  1.3786E+03,  9.7183E+02,  6.8509E+02,  3.1298E+02,  1.4298E+02
  1.8441E-01,  1.2010E+00,  2.0325E+03,  2.0241E+03,  2.0157E+03,  2.0073E+03,  1.9990E+03,  1.9967E+03,  1.9943E+03,  1.9859E+03,  1.9687E+03,  1.9624E+03,  1.9561E+03,  1.9470E+03,  1.9379E+03,  1.9283E+03,  1.9187E+03,  1.9032E+03,  1.8575E+03,  1.8145E+03,  1.7575E+03,  1.6139E+03,  1.5230E+03,  1.4371E+03,  1.3458E+03,  1.2685E+03,  1.0518E+03,  7.4084E+02,  5.2184E+02,  2.3321E+02,  1.0422E+02
  1.8989E-01,  1.2113E+00,  1.3205E+03,  1.3161E+03,  1.3118E+03,  1.3071E+03,  1.3024E+03,  1.2970E+03,  1.2916E+03,  1.2835E+03,  1.2617E+03,  1.2586E+03,  1.2556E+03,  1.2457E+03,  1.2360E+03,  1.2308E+03,  1.2256E+03,  1.2147E+03,  1.1883E+03,  1.1548E+03,  1.1295E+03,  1.0500E+03,  9.9175E+02,  9.3675E+02,  8.8196E+02,  8.3192E+02,  6.9192E+02,  4.8022E+02,  3.3329E+02,  1.4057E+02,  5.9285E+01
  1.9668E-01,  1.2320E+00,  8.4664E+02,  8.4438E+02,  8.4212E+02,  8.3812E+02,  8.3413E+02,  8.3009E+02,  8.2606E+02,  8.2143E+02,  8.0709E+02,  8.0467E+02,  8.0226E+02,  7.9264E+02,  7.8314E+02,  7.7609E+02,  7.6911E+02,  7.6384E+02,  7.4458E+02,  7.1966E+02,  6.9651E+02,  6.7198E+02,  6.3766E+02,  6.0510E+02,  5.6938E+02,  5.3866E+02,  4.4696E+02,  3.0191E+02,  2.0393E+02,  7.8659E+01,  3.0341E+01
  2.0459E-01,  1.2648E+00,  5.7953E+02,  5.7626E+02,  5.7301E+02,  5.6998E+02,  5.6697E+02,  5.6395E+02,  5.6095E+02,  5.5685E+02,  5.4995E+02,  5.4491E+02,  5.3991E+02,  5.3624E+02,  5.3259E+02,  5.3053E+02,  5.2848E+02,  5.2475E+02,  5.1028E+02,  4.9826E+02,  4.8016E+02,  4.4674E+02,  4.2082E+02,  3.9640E+02,  3.7324E+02,  3.5074E+02,  2.9077E+02,  1.9123E+02,  1.2577E+02,  4.6311E+01,  1.7053E+01
  2.1339E-01,  1.3113E+00,  3.0691E+02,  3.0438E+02,  3.0186E+02,  2.9936E+02,  2.9688E+02,  2.9442E+02,  2.9198E+02,  2.9036E+02,  2.8534E+02,  2.8356E+02,  2.8180E+02,  2.7967E+02,  2.7755E+02,  2.7544E+02,  2.7335E+02,  2.6869E+02,  2.6009E+02,  2.4938E+02,  2.4436E+02,  2.4076E+02,  2.3149E+02,  2.2257E+02,  2.1387E+02,  2.0508E+02,  1.7305E+02,  1.1141E+02,  7.1724E+01,  2.3939E+01,  7.9902E+00
  2.2280E-01,  1.3741E+00,  1.5025E+02,  1.4829E+02,  1.4636E+02,  1.4518E+02,  1.4402E+02,  1.4233E+02,  1.4065E+02,  1.3911E+02,  1.3441E+02,  1.3244E+02,  1.3049E+02,  1.2876E+02,  1.2705E+02,  1.2546E+02,  1.2388E+02,  1.2189E+02,  1.1458E+02,  1.0786E+02,  1.0330E+02,  9.9618E+01,  9.7580E+01,  9.5584E+01,  9.1836E+01,  8.8162E+01,  7.4275E+01,  4.2453E+01,  2.4265E+01,  6.3812E+00,  1.6781E+00
  2.3253E-01,  1.4553E+00,  4.6281E+01,  4.5415E+01,  4.4566E+01,  4.4136E+01,  4.3710E+01,  4.3048E+01,  4.2395E+01,  4.1687E+01,  3.9462E+01,  3.9462E+01,  3.9462E+01,  3.9462E+01,  3.9462E+01,  3.9015E+01,  3.8556E+01,  3.7593E+01,  3.6402E+01,  3.6402E+01,  3.3178E+01,  3.0256E+01,  3.0256E+01,  3.0256E+01,  2.9325E+01,  2.8342E+01,  2.3835E+01,  1.2036E+01,  6.0774E+00,  1.5496E+00,  0.0000E+00
