'*',    76,     1,    32,    39,     3,    32,    -1,     0
'SPENVIS 4.6.11.3477          - 15-Aug-2023 17:14:36'
'PRJ_DEF', -1,'VANALLENBELTINVESTIGATION'
'PRJ_HDR', -1,'investigation of van Allen belt current'
'MOD_ABB', -1,'TRP'
'MIS_PLA',  1,    3,' '
'MIS_NTR',  1,    1,' '
'MIS_STA',  1,  18628.00000000,' '
'MIS_END',  1,  18635.00000000,' '
'MIS_DUR',  1, 7.000000E+00,'days'
'ORB_HDR', -1,' '
'ORB_TYP', -1,'GEN'
'ORB_MJD',  1,  18628.00000000,' '
'ORB_YEA',  1, 2001,' '
'ORB_MON',  1,  1,' '
'ORB_DAY',  1,  1,' '
'ORB_HOU',  1,  0,' '
'ORB_MIN',  1,  0,' '
'ORB_SEC',  1,  0.0,' '
'ORB_APO',  1, 1.200000E+03,'km'
'ORB_PER',  1, 1.200000E+03,'km'
'ORB_INC',  1,    90.00,'deg'
'ORB_RAA',  1,    95.00,'deg'
'ORB_ARG',  1,     0.00,'deg'
'ORB_TRA',  1,     0.00,'deg'
'ORB_PRD',  1, 1.821113E+00,'hrs'
'ORB_DUR',  1, 7.587970E-01,'days'
'ORB_TSE',  1,  18635.00000000,' '
'ORB_AXM',  1,  2,' '
'ORB_MJR', -1,'1 Jan 1950, 00:00 UT'
'ORB_GDR', -1,'Astron. J. 66, 15, 1961'
'TRP_MOD', -1,'AE-8 MAX'
'TRP_OMN',  1,  1,' '
'ENERGY', 30,   0.04,   0.10,   0.20,   0.30,   0.40,   0.50,   0.60,   0.70,   0.80,   1.00,   1.25,   1.50,   1.75,   2.00,   2.25,   2.50,   2.75,   3.00,   3.25,   3.50,   3.75,   4.00,   4.25,   4.50,   4.75,   5.00,   5.50,   6.00,   6.50,   7.00,'MeV'
'PS Annotation',  8,  2
'Mission start: 01/01/2001 00:00:00'
 0.05, 0.00, 0.00
'Mission end: 08/01/2001 00:00:00'
 0.95, 0.00, 1.00
'Nr. of segments:   1'
 0.05, 1.50, 0.00
'Duration: 7.00 days'
 0.95, 0.00, 1.00
'PS Annotation', 24,  1
'Segment  1:'
 0.05, 2.00, 0.00
'Apogee: 1200.0 km'
 0.05, 1.50, 0.00
'Perigee: 1200.0 km'
 0.50, 0.00, 0.50
'Inclination: 90.0 deg'
 0.95, 0.00, 1.00
'R.A. Asc. Node: 95.0 deg'
 0.05, 1.50, 0.00
'Arg. Per.: 0.0 deg'
 0.50, 0.00, 0.50
'True Anomaly: 0.0 deg'
 0.95, 0.00, 1.00
'Period: 1.82 hrs'
 0.05, 1.50, 0.00
'Duration: 0.76 days'
 0.50, 0.00, 0.50
'10.00 Orbits'
 0.95, 0.00, 1.00
'Orbit start: 01/01/2001 00:00:00'
 0.05, 1.50, 0.00
'Orbit end: 01/01/2001 18:12:40'
 0.95, 0.00, 1.00
'PS Annotation',  4,  0
'Trapped electron model: AE-8 MAX'
 0.05, 2.00, 0.00
'Local time variation taken into account'
 0.10, 1.50, 0.00
'B','Gauss', 1,'!8B!3'
'L','!8R!3!dE!n', 1,'!8L!3'
'Flux','cm!u-2!n s!u-1!n', 30,'AE-8 MAX Integral Flux >','ENERGY'
  1.7896E-01,  1.2230E+00,  1.5373E+06,  1.2093E+06,  7.5038E+05,  3.3993E+05,  1.1242E+05,  3.7182E+04,  1.9539E+04,  1.0268E+04,  6.0365E+03,  2.6111E+03,  1.3513E+03,  6.9937E+02,  4.6880E+02,  3.1424E+02,  1.8811E+02,  1.1260E+02,  6.2655E+01,  3.4864E+01,  1.4851E+01,  6.3258E+00,  1.6375E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.7973E-01,  1.2056E+00,  7.2988E+05,  5.7497E+05,  3.6309E+05,  1.6808E+05,  5.7040E+04,  1.9357E+04,  1.0406E+04,  5.5943E+03,  3.3172E+03,  1.4190E+03,  7.3998E+02,  3.8590E+02,  2.6134E+02,  1.7698E+02,  1.0541E+02,  6.2780E+01,  3.4472E+01,  1.8928E+01,  9.1002E+00,  4.3751E+00,  1.5384E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.8181E-01,  1.1969E+00,  3.8798E+05,  3.0794E+05,  1.9826E+05,  9.4564E+04,  3.3416E+04,  1.1808E+04,  6.5148E+03,  3.5945E+03,  2.1715E+03,  9.5005E+02,  5.0655E+02,  2.7008E+02,  1.8564E+02,  1.2760E+02,  7.7123E+01,  4.6613E+01,  2.5991E+01,  1.4492E+01,  7.4137E+00,  3.7927E+00,  1.9403E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.8534E-01,  1.1972E+00,  2.8776E+05,  2.2828E+05,  1.4683E+05,  6.9917E+04,  2.4649E+04,  8.6896E+03,  4.7880E+03,  2.6382E+03,  1.5920E+03,  6.9521E+02,  3.7015E+02,  1.9708E+02,  1.3536E+02,  9.2970E+01,  5.6134E+01,  3.3893E+01,  1.8876E+01,  1.0513E+01,  5.3716E+00,  2.7446E+00,  1.4023E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.9038E-01,  1.2068E+00,  2.0186E+05,  1.5925E+05,  9.8662E+04,  4.5200E+04,  1.5312E+04,  5.1872E+03,  2.7858E+03,  1.4961E+03,  8.8667E+02,  3.7928E+02,  1.9791E+02,  1.0327E+02,  6.9834E+01,  4.7224E+01,  2.8221E+01,  1.6865E+01,  9.3016E+00,  5.1303E+00,  2.4626E+00,  1.1821E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.9683E-01,  1.2270E+00,  1.4497E+05,  1.1280E+05,  6.7757E+04,  3.0020E+04,  9.8102E+03,  3.2058E+03,  1.6693E+03,  8.6921E+02,  5.0881E+02,  2.2034E+02,  1.1407E+02,  5.9057E+01,  3.9736E+01,  2.6736E+01,  1.6146E+01,  9.7508E+00,  5.4495E+00,  3.0455E+00,  1.2869E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.0451E-01,  1.2588E+00,  1.6413E+05,  1.2730E+05,  7.0973E+04,  2.9968E+04,  9.5830E+03,  3.0644E+03,  1.5781E+03,  8.1270E+02,  4.7709E+02,  2.1365E+02,  1.1113E+02,  5.7804E+01,  3.8033E+01,  2.5025E+01,  1.5353E+01,  9.4192E+00,  5.3140E+00,  2.9980E+00,  1.0304E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.1318E-01,  1.3040E+00,  1.9513E+05,  1.4077E+05,  6.6304E+04,  2.6728E+04,  9.2208E+03,  3.1811E+03,  1.7737E+03,  9.8899E+02,  6.1698E+02,  3.0058E+02,  1.6906E+02,  9.5089E+01,  6.2368E+01,  4.0906E+01,  2.7360E+01,  1.8300E+01,  9.6376E+00,  5.0755E+00,  1.5743E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.2253E-01,  1.3650E+00,  2.6169E+05,  1.8295E+05,  8.3204E+04,  3.4232E+04,  1.2741E+04,  4.7421E+03,  2.9801E+03,  1.8728E+03,  1.2685E+03,  6.7614E+02,  3.9638E+02,  2.3237E+02,  1.5435E+02,  1.0252E+02,  7.0367E+01,  4.8298E+01,  2.1544E+01,  9.6097E+00,  2.8842E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.3228E-01,  1.4448E+00,  5.9488E+05,  4.1333E+05,  1.7062E+05,  6.7217E+04,  2.5273E+04,  9.5020E+03,  6.4621E+03,  4.3947E+03,  3.1514E+03,  1.8019E+03,  1.1407E+03,  7.2210E+02,  4.8344E+02,  3.2367E+02,  2.2466E+02,  1.5594E+02,  6.0539E+01,  2.3503E+01,  6.7741E+00,  1.9524E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4214E-01,  1.5467E+00,  7.1911E+05,  4.6687E+05,  1.6938E+05,  6.1779E+04,  2.2652E+04,  8.3058E+03,  4.9804E+03,  2.9864E+03,  1.9614E+03,  1.0149E+03,  6.3880E+02,  4.0207E+02,  2.7031E+02,  1.8172E+02,  1.2043E+02,  7.9812E+01,  2.9306E+01,  1.0761E+01,  3.2436E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.5187E-01,  1.6760E+00,  8.2023E+05,  4.9496E+05,  1.6324E+05,  5.6167E+04,  2.0163E+04,  7.2385E+03,  3.5408E+03,  1.7321E+03,  9.8150E+02,  4.2294E+02,  2.5179E+02,  1.4990E+02,  9.1992E+01,  5.6454E+01,  3.4321E+01,  2.0865E+01,  7.5033E+00,  2.6983E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.6130E-01,  1.8385E+00,  6.8338E+05,  3.7726E+05,  1.1002E+05,  3.6148E+04,  1.3380E+04,  4.9523E+03,  1.9176E+03,  7.4252E+02,  3.3860E+02,  9.7655E+01,  5.1970E+01,  2.7658E+01,  1.3412E+01,  6.5034E+00,  3.4455E+00,  1.8255E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.7028E-01,  2.0415E+00,  7.2034E+05,  3.7144E+05,  8.5058E+04,  2.4376E+04,  8.7422E+03,  3.1353E+03,  1.0702E+03,  3.6531E+02,  1.4527E+02,  3.1175E+01,  1.2642E+01,  5.1267E+00,  2.3865E+00,  1.1109E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.7873E-01,  2.2958E+00,  1.2407E+05,  6.0052E+04,  1.4918E+04,  4.6802E+03,  1.8545E+03,  7.3484E+02,  2.7162E+02,  1.0040E+02,  3.9392E+01,  6.8326E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.8662E-01,  2.6157E+00,  5.2742E+04,  3.4043E+04,  1.0056E+04,  3.9167E+03,  2.0112E+03,  1.0327E+03,  5.7800E+02,  3.2350E+02,  1.9101E+02,  7.4108E+01,  5.1086E+01,  3.5215E+01,  2.2043E+01,  1.3797E+01,  7.5875E+00,  4.1726E+00,  2.0427E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.9396E-01,  3.0241E+00,  3.4808E+05,  1.8379E+05,  8.9334E+04,  5.2075E+04,  3.6405E+04,  2.5450E+04,  2.0096E+04,  1.5868E+04,  1.2942E+04,  9.1866E+03,  6.2718E+03,  4.2819E+03,  2.8530E+03,  1.9010E+03,  1.2691E+03,  8.4725E+02,  5.6338E+02,  3.7462E+02,  2.4359E+02,  1.5838E+02,  1.0383E+02,  6.8061E+01,  4.4514E+01,  2.9113E+01,  1.9605E+01,  1.3201E+01,  5.2756E+00,  1.7632E+00,  0.0000E+00,  0.0000E+00
  3.0079E-01,  3.5544E+00,  1.8882E+06,  1.1466E+06,  6.0250E+05,  3.7379E+05,  2.7379E+05,  2.0054E+05,  1.6040E+05,  1.2830E+05,  1.0500E+05,  7.3608E+04,  5.2898E+04,  3.8015E+04,  2.6240E+04,  1.8113E+04,  1.2701E+04,  8.9060E+03,  5.9370E+03,  3.9578E+03,  2.5248E+03,  1.6106E+03,  9.4513E+02,  5.5462E+02,  2.9695E+02,  1.5899E+02,  8.1209E+01,  4.1476E+01,  8.8865E+00,  1.6176E+00,  0.0000E+00,  0.0000E+00
  3.0715E-01,  4.2593E+00,  1.9905E+06,  1.2616E+06,  7.7305E+05,  5.1406E+05,  3.7094E+05,  2.6767E+05,  2.1209E+05,  1.6805E+05,  1.3708E+05,  9.6660E+04,  6.2499E+04,  4.0411E+04,  2.5128E+04,  1.5625E+04,  9.9873E+03,  6.3839E+03,  3.8704E+03,  2.3466E+03,  1.3833E+03,  8.1551E+02,  4.3749E+02,  2.3470E+02,  1.1653E+02,  5.7862E+01,  2.4324E+01,  1.0224E+01,  1.4714E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  3.1312E-01,  5.2195E+00,  1.2394E+06,  8.6324E+05,  5.1035E+05,  3.2350E+05,  2.2121E+05,  1.5158E+05,  1.0860E+05,  7.7787E+04,  5.8582E+04,  3.6663E+04,  2.0445E+04,  1.1418E+04,  6.7721E+03,  4.0195E+03,  2.3858E+03,  1.4170E+03,  8.3945E+02,  4.9750E+02,  2.8754E+02,  1.6624E+02,  8.8323E+01,  4.6936E+01,  2.2225E+01,  1.0526E+01,  3.0353E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  3.1875E-01,  6.5672E+00,  3.5554E+05,  2.8323E+05,  1.3960E+05,  7.2972E+04,  4.1685E+04,  2.3948E+04,  1.6197E+04,  1.0933E+04,  7.4935E+03,  3.6491E+03,  1.7684E+03,  8.6255E+02,  4.8630E+02,  2.7507E+02,  1.3860E+02,  6.9988E+01,  4.0923E+01,  2.3962E+01,  1.5181E+01,  9.6290E+00,  5.0692E+00,  2.6710E+00,  1.4343E+00,  7.7070E-01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  3.2407E-01,  8.5237E+00,  5.8922E+04,  1.8078E+04,  5.6423E+03,  1.8949E+03,  7.0480E+02,  2.6222E+02,  1.4263E+02,  7.8440E+01,  4.5880E+01,  1.8205E+01,  5.2319E+00,  1.4851E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
